,Issue Date,Plate ID,Registration State,Summons Number,Vehicle Color,Vehicle Expiration Date,Vehicle Make,Violation Description,Violation code,alert,id_drone
163,2014-08-11,32883ME,NY,7899896988.0,WHB,2016-01-01 00:00:00,GMC,Selling/Offer Merchandise,35,0.0,1710.0
164,2014-08-05,3BN3457,MD,7040990570.0,SILVE,2015-01-01 00:00:00,FORD,Expired Muni Meter,37,0.0,1717.0
165,2014-08-23,GMR3345,NY,8011500880.0,BK,2016-01-01 00:00:00,ME/BE,Veh for Sale (Dealer Only),91,0.0,1725.0
166,2014-08-01,48012JX,NY,7063797621.0,WHITE,2016-01-01 00:00:00,FORD,Exp. Muni-Mtr (Com. Mtr. Z),42,0.0,1736.0
167,2014-08-23,ENS4497,NY,7160176868.0,WH,2015-01-01 00:00:00,NISSA,Wrong Way,61,0.0,1739.0
168,2014-08-15,GAL8878,NY,7791968496.0,WH,2014-01-01 00:00:00,BMW,No Parking (Non-COM),20A,0.0,1761.0
169,2014-08-05,CUV9101,NY,7777107689.0,BK,2016-01-01 00:00:00,HONDA,No Parking (street clean),21,0.0,1799.0
170,2014-08-21,GPP7726,NY,7093888446.0,BK,2016-01-01 00:00:00,VOLKS,Double Parking (Non-COM),46A,0.0,1806.0
171,2014-08-23,GMS6887,NY,7783194631.0,RD,2016-01-01 00:00:00,TOYOT,Insp. Sticker Missing (NYS,71,0.0,1819.0
172,2014-08-19,EMB7833,NY,8008055716.0,BK,2015-01-01 00:00:00,BMW,Missing Display Plate,74,0.0,1826.0
173,2014-08-21,AL823U,NJ,7057435782.0,WHITE,8888-01-01 00:00:00,GMC,Double Parking (Com-100Ft),46B,0.0,1834.0
174,2014-08-09,GFC5293,NY,7695582104.0,GL,2015-01-01 00:00:00,NISSA,No Parking (street clean),21,0.0,1835.0
175,2014-08-17,FHN2400,NY,7779963093.0,GY,2015-01-01 00:00:00,NISSA,No Parking (Non-COM),20A,0.0,1854.0
176,2014-08-19,EVS2289,NY,7314958439.0,GY,2016-01-01 00:00:00,HYUND,Not Pkg. Comp. w Psted Sign,68,0.0,1858.0
177,2014-08-02,GLV5137,NY,7003359637.0,BK,2015-01-01 00:00:00,BMW,Failure to Display Muni Rec,38,0.0,1872.0
178,2014-08-16,GMT8729,NY,7658106525.0,TN,2016-01-01 00:00:00,JEEP,Failure to Display Muni Rec,38,0.0,1884.0
179,2014-08-27,62608JM,NY,8011951580.0,BROWN,8888-01-01 00:00:00,INTER,Fire Hydrant,40,0.0,1889.0
180,2014-08-12,HRY662,SC,7504757366.0,GREY,2014-01-01 00:00:00,LEXUS,No Parking (Non-COM),20A,0.0,1894.0
181,2014-08-30,A34DCS,NJ,7635161052.0,BLUE,8888-01-01 00:00:00,FORD,Fire Hydrant,40,0.0,1902.0
182,2014-08-01,N201632C,NY,7395909951.0,BK,2015-01-01 00:00:00,LINCO,Expired Muni Meter,37,0.0,1934.0
183,2014-08-12,EPU8769,NY,7122793930.0,GY,2015-01-01 00:00:00,VOLKS,No Parking (street clean),21,0.0,1946.0
184,2014-08-12,98038MD,NY,7914344904.0,WH,2015-01-01 00:00:00,FORD,Expired Muni Meter,37,0.0,1953.0
185,2014-08-28,4EDL30,MA,7322570250.0,GREY,2015-01-01 00:00:00,NISSA,Double Parking (Non-COM),46A,0.0,1959.0
186,2014-08-01,GNJ5025,NY,7362428960.0,RD,2016-01-01 00:00:00,ME/BE,No Stand (Com. Mtr. Zone),31,0.0,1981.0
